,category,skill,type,count
237,IS,Scripting,hard_skill,60
238,IS,Packet Analyzer,hard_skill,6
239,IS,General Security,hard_skill,3
240,IS,Open Web Application Security Project (OWASP),hard_skill,17
241,IS,Regular Expressions,hard_skill,8
242,IS,Transmission Control Protocol (TCP),hard_skill,7
243,IS,Offensive Security Certified Professional,hard_skill,28
244,IS,Housekeeping,hard_skill,1
245,IS,Ethical Hacking,hard_skill,4
246,IS,Decisiveness,hard_skill,3
247,IS,Technology Ecosystems,hard_skill,4
248,IS,React.js (Javascript Library),hard_skill,3
249,IS,Information Security Management Systems,hard_skill,9
250,IS,Troubleshooting (Problem Solving),hard_skill,88
251,IS,Microsoft Word,hard_skill,4
252,IS,IdentityIQ,hard_skill,3
253,IS,Systems Analysis,hard_skill,6
254,IS,Requirements Analysis,hard_skill,5
255,IS,Vulnerability Scanning,hard_skill,29
256,IS,Web Filtering,hard_skill,2
257,IS,Event Management,hard_skill,10
258,IS,Scalability,hard_skill,44
259,IS,Intrusion Detection And Prevention,hard_skill,13
260,IS,Cyber Defense,hard_skill,4
261,IS,Open Source Intelligence,hard_skill,2
262,IS,Community Development,hard_skill,1
263,IS,Telecommunications Networks,hard_skill,7
264,IS,Certified Information Security Manager,hard_skill,59
265,IS,Maintenance Engineering,hard_skill,2
266,IS,Operations Support Systems,hard_skill,17
267,IS,Fortinet,hard_skill,20
268,IS,Stakeholder Management,hard_skill,34
269,IS,Service Level,hard_skill,4
270,IS,Consulting,hard_skill,56
271,IS,Unix Shell,hard_skill,3
272,IS,Network Time Protocols,hard_skill,9
273,IS,Multiplatform,hard_skill,9
274,IS,Systems Integration,hard_skill,18
275,IS,Network Switches,hard_skill,36
276,IS,Digital Forensics,hard_skill,10
277,IS,Security Engineering,hard_skill,12
278,IS,Network Monitoring,hard_skill,14
279,IS,Risk Governance,hard_skill,9
280,IS,Operational Data Store,hard_skill,5
281,IS,Threat Detection,hard_skill,16
282,IS,Project Management,hard_skill,81
283,IS,Planning,hard_skill,62
284,IS,Financial Planning,hard_skill,2
285,IS,Security Awareness,hard_skill,24
286,IS,Strategic Planning,hard_skill,14
287,IS,CyberArk,hard_skill,16
288,IS,Incident Response Management,hard_skill,4
289,IS,Business Planning,hard_skill,6
290,IS,Information Assurance,hard_skill,3
291,IS,Electronic Engineering,hard_skill,24
292,IS,Computational Tools,hard_skill,1
293,IS,Program Analysis,hard_skill,1
294,IS,Flask (Web Framework),hard_skill,2
295,IS,Kernel-Based Virtual Machine,hard_skill,5
296,IS,Web Application Frameworks,hard_skill,1
297,IS,Compilers,hard_skill,1
298,IS,Autonomous Vehicles,hard_skill,1
299,IS,Machine Learning,hard_skill,21
300,IS,Ansible,hard_skill,27
301,IS,Computer Networks,hard_skill,21
302,IS,Natural Language Processing,hard_skill,2
303,IS,Quick EMUlator (QEMU),hard_skill,1
304,IS,Computer Forensics,hard_skill,6
305,IS,Computer Programming,hard_skill,1
306,IS,Computer Engineering,hard_skill,46
307,IS,Embedded Systems,hard_skill,2
308,IS,Computer Security,hard_skill,4
309,IS,Research Experiences,hard_skill,2
310,IS,Game Theory,hard_skill,1
311,IS,Internet Of Things (IoT),hard_skill,17
312,IS,Capital Markets,hard_skill,9
313,IS,Industry Analysis,hard_skill,1
314,IS,Hand Mentor,hard_skill,1
315,IS,International Relations,hard_skill,3
316,IS,Espionage,hard_skill,1
317,IS,Political Sciences,hard_skill,2
318,IS,Social Media Intelligence,hard_skill,1
319,IS,Cybercrime,hard_skill,5
320,IS,Emerging Technologies,hard_skill,21
321,IS,Intelligence Analysis,hard_skill,6
322,IS,Economics,hard_skill,2
323,IS,Foreign Language,hard_skill,1
324,IS,Marketing,hard_skill,9
325,IS,Business Administration,hard_skill,4
326,IS,Geopolitics,hard_skill,4
327,IS,Threat Assessment,hard_skill,3
328,IS,Blogs,hard_skill,3
329,IS,Human Intelligence,hard_skill,1
330,IS,Business Development,hard_skill,11
331,IS,Investments,hard_skill,11
332,IS,Decision Support Systems,hard_skill,1
333,IS,Quantum Information,hard_skill,2
334,IS,Technical Documentation,hard_skill,11
335,IS,DevSecOps,hard_skill,24
336,IS,Static Application Security Testing (SAST),hard_skill,6
337,IS,Network Planning And Design,hard_skill,20
338,IS,Business Strategies,hard_skill,13
339,IS,Dynamic Application Security Testing (DAST),hard_skill,3
340,IS,Secure Application Development,hard_skill,2
341,IS,Cloud Security,hard_skill,52
342,IS,Certified Secure Software Lifecycle Professional,hard_skill,2
343,IS,Cloud Technologies,hard_skill,14
344,IS,Application Security,hard_skill,43
345,IS,Certified Cloud Security Professional (CCSP),hard_skill,9
346,IS,Computing Platforms,hard_skill,3
347,IS,Business Analytics,hard_skill,2
348,IS,Portfolio Management,hard_skill,2
349,IS,Application Layers,hard_skill,1
350,IS,Sales,hard_skill,31
351,IS,Runbook,hard_skill,3
352,IS,Service-Level Agreement,hard_skill,6
353,IS,Remedial Action,hard_skill,3
354,IS,Buffer Overflow,hard_skill,1
355,IS,Burp Suite,hard_skill,6
356,IS,Fuzz Testing,hard_skill,5
357,IS,Endpoint Management,hard_skill,2
358,IS,Log Monitoring,hard_skill,4
359,IS,Contingency Planning,hard_skill,3
360,IS,Security Operations (SecOps),hard_skill,3
361,IS,Forensic Engineering,hard_skill,2
362,IS,Multitasking,hard_skill,29
363,IS,Intellectual Curiosity,hard_skill,7
364,IS,Constructive Feedback,hard_skill,3
365,IS,Growth Mindedness,hard_skill,5
366,IS,Enterprise Document Management System,hard_skill,2
367,IS,Resourcefulness,hard_skill,11
368,IS,Service Management,hard_skill,8
369,IS,Incident Communication,hard_skill,1
